Split,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Role,X_OUTLIER,X_PREDICTED
1,5.1,3.5,1.4,0.2,Setosa,TRAINING,0,1.4952430096648168
1,4.9,3.0,1.4,0.2,Setosa,TRAINING,0,1.6737541598189696
1,4.7,3.2,1.3,0.2,Setosa,TRAINING,0,1.3949863463334187
1,4.6,3.1,1.5,0.2,Setosa,TRAINING,0,1.3862535720591294
1,5.0,3.6,1.4,0.2,Setosa,TRAINING,0,1.3558591029220413
1,5.4,3.9,1.7,0.4,Setosa,TRAINING,0,1.7417850745381118
1,4.6,3.4,1.4,0.3,Setosa,TRAINING,0,1.3331115274987353
1,5.0,3.4,1.5,0.2,Setosa,TRAINING,0,1.486510235390528
1,4.4,2.9,1.4,0.2,Setosa,TRAINING,0,1.368788023510552
1,4.9,3.1,1.5,0.1,Setosa,TRAINING,0,1.4655939394423905
1,5.4,3.7,50.0,0.1,Setosa,TRAINING,1,1.4439322445795912
1,4.8,3.4,1.6,0.2,Setosa,TRAINING,0,1.338393554373464
1,4.8,3.0,1.4,0.1,Setosa,TRAINING,0,1.4568611651681014
1,4.3,3.0,1.1,0.1,Setosa,TRAINING,0,1.0865694626254405
1,5.8,4.0,1.2,0.2,Setosa,TRAINING,0,1.6870235620533247
1,5.7,4.4,1.5,0.4,Setosa,TRAINING,0,1.6373322648924913
1,5.4,3.9,1.3,0.4,Setosa,TRAINING,0,1.7417850745381118
1,5.1,3.5,1.4,0.3,Setosa,TRAINING,0,1.6380776638071526
1,5.7,3.8,1.7,0.3,Setosa,TRAINING,0,1.8864510081556154
1,5.1,3.8,1.5,0.3,Setosa,TRAINING,0,1.4421009651044228
1,5.4,3.4,1.7,0.2,Setosa,TRAINING,0,1.7827435974246568
1,5.1,3.7,1.5,0.4,Setosa,TRAINING,0,1.6502611854810016
1,4.6,3.6,1.0,0.2,Setosa,TRAINING,0,1.0596257408879128
1,5.1,3.3,1.7,0.5,Setosa,TRAINING,0,2.0543981045603106
1,4.8,3.4,1.9,0.2,Setosa,TRAINING,0,1.338393554373464
1,5.0,3.0,1.6,0.2,Setosa,TRAINING,0,1.747812500327501
1,5.0,3.4,1.6,0.4,Setosa,TRAINING,0,1.7721795436751995
1,5.2,3.5,1.5,0.2,Setosa,TRAINING,0,1.5693013501733493
1,5.2,3.4,1.4,0.2,Setosa,TRAINING,0,1.6346269164075924
1,4.7,3.2,1.6,0.2,Setosa,TRAINING,0,1.3949863463334187
1,4.8,3.1,1.6,0.2,Setosa,TRAINING,0,1.5343702530761938
1,5.4,3.4,1.5,0.4,Setosa,TRAINING,0,2.0684129057093283
1,5.2,4.1,1.5,0.1,Setosa,TRAINING,0,1.0345132986255539
1,5.5,4.2,1.4,0.2,Setosa,TRAINING,0,1.3341974080592425
1,4.9,3.1,1.5,0.2,Setosa,TRAINING,0,1.6084285935847262
1,5.0,3.2,1.2,0.2,Setosa,TRAINING,0,1.6171613678590147
1,5.5,3.5,1.3,0.2,Setosa,TRAINING,0,1.7914763716989457
1,4.9,3.6,1.4,0.1,Setosa,TRAINING,0,1.138966108271174
1,4.4,3.0,1.3,0.2,Setosa,TRAINING,0,1.3034624572763087
1,5.1,3.4,1.5,0.2,Setosa,TRAINING,0,1.56056857589906
1,5.0,3.5,1.3,0.3,Setosa,TRAINING,0,1.5640193232986206
1,4.5,2.3,1.3,0.3,Setosa,TRAINING,0,1.9776344155668792
1,4.4,3.2,1.3,0.2,Setosa,TRAINING,0,1.1728113248078222
1,5.0,3.5,1.6,0.6,Setosa,SCORING,0,1.9925232857256279
1,5.1,3.8,1.9,0.4,Setosa,SCORING,0,1.5849356192467585
1,4.8,3.0,1.4,0.3,Setosa,SCORING,0,1.742530473452773
1,5.1,3.8,1.6,0.2,Setosa,SCORING,0,1.299266310962087
1,4.6,3.2,1.4,0.2,Setosa,SCORING,0,1.3209280058248862
1,5.3,3.7,1.5,0.2,Setosa,SCORING,0,1.5127085582133946
1,5.0,3.3,1.4,0.2,Setosa,SCORING,0,1.5518358016247715
1,7.0,3.2,4.7,1.4,Versicolor,TRAINING,0,4.812344027737685
1,6.4,3.2,4.5,1.5,Versicolor,TRAINING,0,4.510828638828828
1,6.9,3.1,4.9,1.5,Versicolor,TRAINING,0,4.946445907605733
1,5.5,2.3,4.0,1.3,Versicolor,TRAINING,0,4.146564362075559
1,6.5,2.8,4.6,1.5,Versicolor,TRAINING,0,4.846189244274335
1,5.7,2.8,4.5,1.3,Versicolor,TRAINING,0,3.9680532119214056
1,6.3,3.3,4.7,1.6,Versicolor,TRAINING,0,4.514279386228388
1,4.9,2.4,3.3,1.0,Versicolor,TRAINING,0,3.2083847903631146
1,6.6,2.9,4.6,1.3,Versicolor,TRAINING,0,4.569252710263951
1,5.2,2.7,3.9,1.4,Versicolor,TRAINING,0,3.805921729755324
1,5.0,2.0,3.5,1.0,Versicolor,TRAINING,0,3.5437453958086196
1,5.9,3.0,4.2,1.5,Versicolor,TRAINING,0,4.271188068754656
1,6.0,2.2,4.0,1.0,Versicolor,TRAINING,0,4.153677668425454
1,6.1,2.9,4.7,1.4,Versicolor,TRAINING,0,4.341795661863626
1,5.6,2.9,3.6,1.3,Versicolor,TRAINING,0,3.82866930517863
1,6.7,3.1,4.4,1.4,Versicolor,TRAINING,0,4.655494572446333
1,5.6,3.0,4.5,1.5,Versicolor,TRAINING,0,4.049013047229058
1,5.8,2.7,4.1,1.0,Versicolor,TRAINING,0,3.6789331562371728
1,6.2,2.2,4.5,1.5,Versicolor,TRAINING,0,5.015967620154198
1,5.6,2.5,3.9,1.1,Versicolor,TRAINING,0,3.8043022618309315
1,5.9,3.2,4.8,1.8,Versicolor,TRAINING,0,4.569040898713176
1,6.1,2.8,4.0,1.3,Versicolor,TRAINING,0,4.264286573955534
1,6.3,2.5,4.9,1.5,Versicolor,TRAINING,0,4.894049261959999
1,6.1,2.8,4.7,1.2,Versicolor,TRAINING,0,4.1214519198131985
1,6.4,2.9,4.3,1.3,Versicolor,TRAINING,0,4.421136029246886
1,6.6,3.0,4.4,1.4,Versicolor,TRAINING,0,4.646761798172044
1,6.8,2.8,4.8,1.4,Versicolor,TRAINING,0,4.925529611657595
1,6.7,3.0,5.0,1.7,Versicolor,TRAINING,0,5.149324101107583
1,6.0,2.9,4.5,1.5,Versicolor,TRAINING,0,4.410571975497431
1,5.7,2.6,3.5,1.0,Versicolor,TRAINING,0,3.6702003819628852
1,5.5,2.4,3.8,1.1,Versicolor,TRAINING,0,3.795569487556644
1,5.5,2.4,3.7,1.0,Versicolor,TRAINING,0,3.6527348334143075
1,5.8,2.7,3.9,1.2,Versicolor,TRAINING,0,3.9646024645218447
1,6.0,2.7,5.1,1.6,Versicolor,TRAINING,0,4.684057762108253
1,5.4,3.0,4.5,1.5,Versicolor,TRAINING,0,3.900896366211995
1,6.0,3.4,4.5,1.6,Versicolor,TRAINING,0,4.226778798468549
1,6.7,3.1,4.7,1.5,Versicolor,TRAINING,0,4.798329226588669
1,6.3,2.3,4.4,1.3,Versicolor,TRAINING,0,4.7390310861438145
1,5.6,3.0,4.1,1.3,Versicolor,TRAINING,0,3.763343738944387
1,5.5,2.5,4.0,1.3,Versicolor,TRAINING,0,4.015913229607072
1,5.5,2.6,4.4,1.2,Versicolor,TRAINING,0,3.8077530092304923
1,6.1,3.0,4.6,1.4,Versicolor,TRAINING,0,4.276470095629383
1,5.8,2.6,4.0,1.2,Versicolor,TRAINING,0,4.029928030756087
1,5.0,2.3,3.3,1.0,Versicolor,SCORING,0,3.34776869710589
1,5.6,2.7,4.2,1.3,Versicolor,SCORING,0,3.9593204376471163
1,5.7,3.0,4.2,1.2,Versicolor,SCORING,0,3.694567425310584
1,5.7,2.9,4.2,1.3,Versicolor,SCORING,0,3.9027276456871625
1,6.2,2.9,4.3,1.3,Versicolor,SCORING,0,4.273019348229823
1,5.1,2.5,3.0,1.1,Versicolor,SCORING,0,3.434010559288271
1,5.7,2.8,4.1,1.3,Versicolor,SCORING,0,3.9680532119214056
1,6.3,3.3,6.0,2.5,Virginica,TRAINING,0,5.79979127350941
1,5.8,2.7,5.1,1.9,Virginica,TRAINING,0,4.964445043518195
1,7.1,3.0,5.9,2.1,Virginica,TRAINING,0,6.016896079711055
1,6.3,2.9,5.6,1.8,Virginica,TRAINING,0,5.0612509594500334
1,6.5,3.0,5.8,2.2,Virginica,TRAINING,0,5.715380690802197
1,7.6,3.0,6.6,2.1,Virginica,TRAINING,0,6.387187782253715
1,4.9,2.5,4.5,1.7,Virginica,TRAINING,0,4.142901803125222
1,7.3,2.9,6.3,1.8,Virginica,TRAINING,0,5.801834364535354
1,6.7,2.5,5.8,1.8,Virginica,TRAINING,0,5.618786586421136
1,7.2,3.6,6.1,2.5,Virginica,TRAINING,0,6.270339639383469
1,6.5,3.2,5.1,2.0,Virginica,TRAINING,0,5.29906025004904
1,6.4,2.7,5.3,1.9,Virginica,TRAINING,0,5.408795086569388
1,6.8,3.0,5.5,2.1,Virginica,TRAINING,0,5.794721058185459
1,5.7,2.5,5.0,2.0,Virginica,TRAINING,0,5.163872489620486
1,5.8,2.8,5.1,2.4,Virginica,TRAINING,0,5.613292747995631
1,6.4,3.2,5.3,2.3,Virginica,TRAINING,0,5.653505871967514
1,6.5,3.0,5.5,1.8,Virginica,TRAINING,0,5.144042074232855
1,7.7,3.8,6.7,2.2,Virginica,TRAINING,0,6.081476247030636
1,7.7,2.6,6.9,2.3,Virginica,TRAINING,0,7.008217695983891
1,6.0,2.2,5.0,1.5,Virginica,TRAINING,0,4.867850939137133
1,6.9,3.2,5.7,2.3,Virginica,TRAINING,0,6.023797574510176
1,5.6,2.8,4.9,2.0,Virginica,TRAINING,0,4.893837450409224
1,7.7,2.8,6.7,2.0,Virginica,TRAINING,0,6.449062601088398
1,6.3,2.7,4.9,1.8,Virginica,TRAINING,0,5.19190209191852
1,6.7,3.3,5.7,2.1,Virginica,TRAINING,0,5.524686018974197
1,7.2,3.2,6.0,1.8,Virginica,TRAINING,0,5.5317993253240925
1,6.2,2.8,4.8,1.8,Virginica,TRAINING,0,5.052518185175744
1,6.1,3.0,4.9,1.8,Virginica,TRAINING,0,4.8478087121987254
1,6.4,2.8,5.6,2.1,Virginica,TRAINING,0,5.629138828619816
1,7.2,3.0,5.8,1.6,Virginica,TRAINING,0,5.376781149507908
1,7.4,2.8,6.1,1.9,Virginica,TRAINING,0,6.084052925420465
1,7.9,3.8,6.4,2.0,Virginica,TRAINING,0,5.94392361976303
1,6.4,2.8,5.6,2.2,Virginica,TRAINING,0,5.771973482762151
1,6.3,2.8,5.1,1.5,Virginica,TRAINING,0,4.69807256325727
1,6.1,2.6,5.6,1.4,Virginica,TRAINING,0,4.537772360566356
1,7.7,3.0,6.1,2.3,Virginica,TRAINING,0,6.746915431046919
1,6.3,3.4,5.6,2.4,Virginica,TRAINING,0,5.591631053132831
1,6.4,3.1,5.5,1.8,Virginica,TRAINING,0,5.00465816749008
1,6.0,3.0,4.8,1.8,Virginica,TRAINING,0,4.773750371690195
1,6.9,3.1,5.4,2.1,Virginica,TRAINING,0,5.803453832459748
1,6.7,3.1,5.6,2.4,Virginica,TRAINING,0,6.08384111386969
1,6.9,3.1,5.1,2.3,Virginica,TRAINING,0,6.0891231407444195
1,5.8,2.7,5.1,1.9,Virginica,TRAINING,0,4.964445043518195
1,6.8,3.2,5.9,2.3,Virginica,TRAINING,0,5.949739234001644
1,6.7,3.3,5.7,2.5,Virginica,TRAINING,0,6.0960246355435395
1,6.7,3.0,5.2,2.3,Virginica,SCORING,0,6.006332025961598
1,6.3,2.5,5.0,1.9,Virginica,SCORING,0,5.4653878785293415
1,6.5,3.0,5.2,2.0,Virginica,SCORING,0,5.429711382517526
1,6.2,3.4,5.4,2.3,Virginica,SCORING,0,5.374738058481963
1,5.9,3.0,5.1,1.8,Virginica,SCORING,0,4.699692031181662
